,screenName,text,favorited,favoriteCount,replyToSN,Tweet Datetime,truncated,replyToSID,id.x,replyToUID,statusSource,retweetCount,isRetweet,retweeted,longitude,latitude,description,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created.y,protected,verified,location,lang,id.y,listedCount,followRequestSent,profileImageUrl,,Gender
11,_sanjaykumar26,"Top innings from #SanjuSamson, and well played @PunjabKingsIPL 
#IPL2021 #RRvsPBKS",FALSE,0,NA,12-04-2021 18:49,FALSE,NA,1.38168E+18,NA,Twitter Web App,0,FALSE,FALSE,NA,NA,,324,5,1461,161,NA,Sanjay,04-02-2021 03:17,FALSE,FALSE,Bihar,NA,1.35717E+18,0,FALSE,http://pbs.twimg.com/profile_images/1357338916055994374/B4EMq-V6_normal.jpg,,Male
12,_younglords_,Wht a great innings by @IamSanjuSamson @klrahul11 <U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525> and very great performance from Rajasthan royals keep it… https://t.co/ekD6qxen7J,FALSE,1,NA,12-04-2021 19:11,TRUE,NA,1.38169E+18,NA,Twitter for iPhone,0,FALSE,FALSE,NA,NA,<U+0001F531><U+092E><U+200C><U+0939><U+093E><U+0926><U+0947><U+0935><U+0001F531> Be Responsible<U+0001F4AA> Make Money<U+0001F4B8> Have fun<U+0001F60E> punjabi songs<U+2764><U+FE0F><U+0001F60D> Insta @_younglords_,14,1,14,10,NA,Bhavesh,02-04-2021 15:39,FALSE,FALSE,Bihar,NA,1.37801E+18,0,FALSE,http://pbs.twimg.com/profile_images/1378247099544838145/8ajtVLbM_normal.jpg,,Male
13,07arnabroy,"This knock is a perfect example of
""CAPTAIN LEADING FROM THE FRONT"" 
hope to see some more mesmerizing memories lik… https://t.co/YZKM0GcBwn",FALSE,1,NA,12-04-2021 19:09,TRUE,NA,1.38169E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"Run to the rescue with love 
and peace will follow<U+0001F33B>

Instagram - @arnab_roy2799",810,152,3300,866,https://t.co/OmPlGGFVju,Arnab Roy,19-09-2012 10:53,FALSE,FALSE,Bihar,NA,833069899,0,FALSE,http://pbs.twimg.com/profile_images/1378391954459795456/6nVSch3I_normal.jpg,,Male
14,1_theDash,This is the reason why Dhoni is A Hero in a cricket field . He’ll turn away singles and hit the glory shots just li… https://t.co/CXxCLkH4tS,FALSE,1,NA,12-04-2021 18:44,TRUE,NA,1.38168E+18,NA,Twitter for iPhone,0,FALSE,FALSE,NA,NA,retail technologist | tweets on politics & everything | Views are personal,15761,1235,10325,506,NA,wear a mask. covid kills <U+0001F637>,03-01-2019 07:13,FALSE,FALSE,Bihar,NA,1.08072E+18,1,FALSE,http://pbs.twimg.com/profile_images/1379384220020174848/MWx-SKvH_normal.jpg,,Male
15,123MOTINUDDIN,"@ViCustomerCare @DisneyplusHSVIP 1<U+FE0F><U+20E3>6<U+FE0F><U+20E3> Chetan Sakariya

#FanOfTheMatch #RRvPBKS #IPL2021
@ViCustomerCare <U+0001F3C6>",FALSE,1,ViCustomerCare,12-04-2021 19:19,FALSE,1.38168E+18,1.38169E+18,1.28764E+18,Twitter for Android,0,FALSE,FALSE,NA,NA,,2019,33,3766,1026,NA,Motinuddin S,04-09-2019 10:30,FALSE,FALSE,Bihar,NA,1.1692E+18,0,FALSE,http://pbs.twimg.com/profile_images/1351941468772962306/EpXF17rW_normal.jpg,,Male
16,123MOTINUDDIN,"@ViCustomerCare @DisneyplusHSVIP 1<U+FE0F><U+20E3>9<U+FE0F><U+20E3> 3 singles  #IPL2021
#FanOfTheMatch #RRvPBKS",FALSE,1,ViCustomerCare,12-04-2021 19:21,FALSE,1.38168E+18,1.38169E+18,1.28764E+18,Twitter for Android,0,FALSE,FALSE,NA,NA,,2019,33,3766,1026,NA,Motinuddin S,04-09-2019 10:30,FALSE,FALSE,Bihar,NA,1.1692E+18,0,FALSE,http://pbs.twimg.com/profile_images/1351941468772962306/EpXF17rW_normal.jpg,,Male
17,1432Dhruva,What a great knock by the skipper @IamSanjuSamson aboslute winning game for Samson but lost by the way congrats… https://t.co/alTgbLWtDm,FALSE,0,NA,12-04-2021 18:44,TRUE,NA,1.38168E+18,NA,Twitter Web App,0,FALSE,FALSE,NA,NA,,14,0,11,16,NA,Harshith_dhruva_1432,24-06-2018 15:05,FALSE,FALSE,Bihar,NA,1.0109E+18,0,FALSE,http://pbs.twimg.com/profile_images/1010902782868484096/xGejh4Cc_normal.jpg,,Male
18,14Varun,"Just one word comes when someone say #sanju_samson  ""Respect""

#RRvsPBKS #IPL2021",FALSE,1,NA,12-04-2021 19:22,FALSE,NA,1.38169E+18,NA,Twitter Web App,0,FALSE,FALSE,NA,NA,"Proud Indian <U+0001F1EE><U+0001F1F3>
born to make impact <U+0001F609><U+0001F60E>
All tweets are my personal opinion. 
Photographer by passion
occiassionally writer <U+0001F4DD>
Rohit sharma <U+2764><U+FE0F>",11100,202,5512,316,https://t.co/W54JETXbef,varun shah,16-06-2013 13:38,FALSE,FALSE,Bihar,NA,1522221050,1,FALSE,http://pbs.twimg.com/profile_images/1268585137031135234/lb2VZO-E_normal.jpg,,Male
19,29_karthikk,"If they give orange cap based on bowler spell , then punjab will end with many orange caps along with kl Rahul's ca… https://t.co/6rsROFO3OC",FALSE,1,NA,12-04-2021 18:46,TRUE,NA,1.38168E+18,NA,Twitter for Android,1,FALSE,FALSE,NA,NA,"Doctor. 
Enjoy till it lasts",57,4,64,8,NA,Smoke Grenade,27-07-2018 08:49,FALSE,FALSE,Bihar,NA,1.02277E+18,0,FALSE,http://pbs.twimg.com/profile_images/1303739791704383489/7sOpscTI_normal.jpg,,Male
20,3oneeight,When you copy RCB you have to bare the consequences that is poor bowling #RRvPBKS #sanju  #IPL2021,FALSE,0,NA,12-04-2021 19:23,FALSE,NA,1.38169E+18,NA,Twitter Web App,0,FALSE,FALSE,NA,NA,,137,28,3086,249,NA,Mayur G,07-04-2020 13:38,FALSE,FALSE,Bihar,NA,1.24752E+18,0,FALSE,http://pbs.twimg.com/profile_images/1367858979896844289/ELoLrKL9_normal.jpg,,Male
21,64MohsinKamal,"People often ask me, ""Why do you only speak about cricket?""
Well, I would suggest you to just once start following… https://t.co/ua9yTDp55q",FALSE,1,NA,12-04-2021 18:50,TRUE,NA,1.38168E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"I seem Bumrah's action, live like Steyn's run-up & sound as Anderson's outswinger. Scribe. Editor @Ksportswatch. Gigs @TheWire_in, @TheQuint, @PinkVilla, more",1866,92,2329,132,https://t.co/aBXS3l9G3Q,Mohsin Kamal,13-11-2018 10:43,FALSE,FALSE,Bihar,NA,1.06229E+18,0,FALSE,http://pbs.twimg.com/profile_images/1374669309385969667/ByY5Algs_normal.jpg,,Male
